TF,TargetGene,RegulationType,Confidence,Evidence
lutR,lutP,repression,0.95,ChIP-seq and EMSA confirmed binding to inverted repeat 5-TCATC-N1-GATGA-3
abrB,tycA,repression,0.9,Binding to A+T-rich region upstream of tycA
abrB,spoVG,activation,0.85,Regulates transcription initiation via promoter interaction
spx,msaAB,activation,0.92,Interacts with RNAP alpha-CTD under oxidative stress
sigH,ctaD,activation,0.88,Drives cytochrome biosynthesis during transition phase
sigH,yhcN,activation,0.87,Newly identified promoter-driven gene
comA,srfA,activation,0.93,Quorum sensing-dependent activation of surfactin operon
spo0A,abrB,repression,0.91,Phosphorylated Spo0A represses abrB during sporulation entry
degU,alsSD,activation,0.89,Positive regulation of acetoin synthesis pathway
degU,ichAA,repression,0.9,Negative regulation of iturin biosynthesis genes
srfAA,srfAB,activation,0.88,Operon co-expression and shared promoter
srfAB,srfAC,activation,0.88,Operon co-expression and shared promoter
srfAC,srfAD,activation,0.88,Operon co-expression and shared promoter
fenA,fenB,activation,0.87,Fengycin operon co-expression
fenB,fenC,activation,0.87,Fengycin operon co-expression
dhbA,dhbB,activation,0.86,Bacillibactin operon co-expression
dhbB,dhbC,activation,0.86,Bacillibactin operon co-expression
dhbC,dhbD,activation,0.86,Bacillibactin operon co-expression
sfp,srfAA,activation,0.9,Phosphopantetheinyl transferase activates NRPS
sfp,fenA,activation,0.89,Phosphopantetheinyl transferase activates NRPS
comA,srfAA,activation,0.92,Quorum sensing-dependent activation of surfactin operon
comA,comS,activation,0.91,Positive feedback regulation of competence
comA,comK,activation,0.88,Competence master regulator activation
spo0A,srfAA,repression,0.85,Sporulation represses secondary metabolism
spo0A,spo0F,activation,0.9,Phosphorelay activation
abrB,srfAA,repression,0.87,Transition state repressor blocks surfactin
abrB,fenA,repression,0.86,Transition state repressor blocks fengycin
sigH,spo0A,activation,0.88,Stationary phase sigma factor activates sporulation
sigH,comA,activation,0.85,Stationary phase sigma factor activates competence
degU,srfAA,repression,0.84,DegU-P represses surfactin synthesis
degU,comA,activation,0.86,Two-component system activates competence
sinR,srfAA,repression,0.83,Biofilm regulator represses surfactin
spx,katA,activation,0.91,Oxidative stress response activation
spx,ahpC,activation,0.9,Oxidative stress response activation
spx,trxB,activation,0.89,Thioredoxin system activation
perR,katA,repression,0.88,Peroxide stress repressor
perR,ahpC,repression,0.87,Peroxide stress repressor
fur,feuA,repression,0.89,Iron uptake regulation
zur,znuA,repression,0.88,Zinc uptake regulation
ccpA,alsS,repression,0.87,Carbon catabolite repression
